rating,reviews,sentiment,Subjectivity,Polarity,Analysis,target
5.0,i happy buy product...nice product.....,0.8,1.0,0.8,Positive,2
4.0,"amazingly amazonit say 8 hr since i use watch lecture give 15hrs+ battery life.sound quality good, high & low perfectly managed term bass heavy would widely mistake.overall 4 star",0.25125,0.5925,0.25125,Positive,2
4.0,base kingthe base really good. value range money.i really liked it.only comfort good.,0.07999999999999996,0.8,0.07999999999999996,Positive,2
1.0,"the head phone plastic band broken out.this product manufacturing defect inside plastic band material,from broken out, could visible product receiving time period. please something automatic damaging, i wanted number time connect customer care service call receiving customer service. please satisfactory advice repair exchange purpose product guarantee period. i received order 14 may 2020.",-0.4,0.4,-0.4,Negative,0
2.0,"cheap plastic, average product. sound distorted high volume.edit: after 1 year usage.the headphone start developing crack overhead plastic band, padding earcups head band started coming off. the boat logo completely vanished (all happened even taking utmost care). the sound still fine.please aware cheap plastic poor built quality headphone. instead buy blaupunkt bh01 eqz headphone best price.ps. the gold plating aux cable come creating much disturbance connecting listening music rendering useless.edit: the sound cut-offs annoying watching film playing. you can't hear dialogue low review 46 day usage...pros:• good sound quality, vocal crystal clear. nice see aux cable bundled box itself.• you get rich bass bluetooth average bass using wired connection.• the ear cup padded good quality foam faux leather, pain continuous use (used 2-2.5 hour still comfortable).• value money, got 1099/- only.• not bass heavy tweak setting get good bass.• good fit design.• good battery backup, got 7 hrs+ single charge. full charge take 2-3 hours, orange led go fully charged.• build quality good considering price product.• call quality average (the speaker loud). the headphone also tell caller’s number incoming call.• the latency also acceptable price point.cons:• on bluetooth, volume kept low music low pitch, sometimes left-right speaker turn on off automatically. (it eliminated keeping volume bar 50%, also problem connected using aux cable). i saw problem boat rockerz 450 well.• when kept 100% volume sound tends get distorted. (its thd-total harmonic distortion ≤5%, whereas good headphone ≤1%)• the aux cable seems thin careful handling it.• the earcups sweat resistant take care it.",0.21721428571428567,0.5209404761904762,0.21721428571428567,Positive,2
5.0,value moneysound crystal clearbass pretty goodvalue money,0.25,1.0,0.25,Positive,2
1.0,"broken within one month!!!i huge fan boat purchasing headphone wireless-only since indian company.but, let product. within one month thing broken. the sad part that, i uploaded invoice downloaded amazon itself, company boat send message stating invoice theirs. so weird!!!so, come faulty product funny excuse say no.",-0.11666666666666665,0.625,-0.11666666666666665,Negative,0
1.0,don't buy please...bass disgusting... range good i tried pubg keep disconnecting continuously...useless headphone...i returned day i received.,-0.15000000000000002,0.8,-0.15000000000000002,Negative,0
1.0,cheap qualityi used 1 month headphone literally breaked. please my dear friend slight little push break it. headphone quality is cheap. not gamers. dont buy it,0.11145833333333335,0.5166666666666666,0.11145833333333335,Positive,2
4.0,"after 2 month reviewmarvelous performanceif watch movie series netflix,amazon hotstar head set perfect option crysta clear sound may deep bass feel like theatre effect perfect clear sound go .....",0.35625,0.5583333333333333,0.35625,Positive,2
4.0,"product great recieved used product instead brand new.headphones great recieved already used someone headphones. seal broken reattached. scratch visible along side earcups. also watch something netflix, either right side left one randomly keep disconnecting reconnecting returned product.",0.16428571428571428,0.48928571428571427,0.16428571428571428,Positive,2
1.0,"never go boat product againdidn't last month... it broke .. see. a one moth amazon take back. whome blame amazon boat company!!if still want purchase..... then go jbl sony products. atleast they'll last much longer pathetic product. you may spend 500-1000 extra money, worth",-0.07142857142857142,0.2190476190476191,-0.07142857142857142,Negative,0
4.0,value money productnice,0.0,0.0,0.0,Neutral,1
1.0,worst products.plz buy product.. using half hour ear start paining. instead ad work quality products.it broke usage one month.totally wastage money.,-0.5833333333333334,0.5833333333333334,-0.5833333333333334,Negative,0
5.0,"perfect! free worrieswell i writing review 6 month daily usage. if looking headphone mid range budget awesome sound quality perfect bass go this.after 6 month usage, i totally satisfied product. the battery backup wonder me. after full charge, use 5-6 hour per day last 4-5 days.the sound quality also high definition. bass also wonderful. connectivity range also good good. just one thing i would like say ok microphone . microphone work well noise cancelling range mic less.overall purchase product without worries. i hope also like it.i regretting one thing also i ordered black colour i liking much compared two colour",0.39216666666666666,0.5544999999999999,0.39216666666666666,Positive,2
